DWH_SK,DWH_BATCH_DATETIME,DWH_BATCH_DATE,ID,LAST_LOGIN,IS_SUPERUSER,USERNAME,EMAIL,IS_STAFF,IS_ACTIVE,DATE_JOINED,FIRST_NAME,LAST_NAME,PHONE_NUMBER,TOTAL_PURCHASED_AMOUNT,IS_DELETED,IS_API_USER,CREATED_DATE,UPDATED_DATE,GENERATED_DATETIME,GENERATED_DATE,DWH_IS_LATEST,DWH_EFFECTIVE_FROM,DWH_EFFECTIVE_TO
8341031390374136871,2025-10-02 17:03:02,2025-10-02,5,,false,shannon67,chavezshannon@example.com,false,true,2025-09-25 13:36:58.418798,Lisa,Gill,"",0.000,false,false,2025-09-25 13:36:58.418798,2025-09-25 13:36:58.418798,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
8978995647893275080,2025-10-02 17:03:02,2025-10-02,37,,false,duncannancy,scott63@example.org,false,true,2025-10-02 13:16:03.48078,Todd,Nguyen,"",0.000,false,false,2025-10-02 13:16:03.48078,2025-10-02 13:16:03.487091,2023-10-09 05:53:03,2023-10-09,1,0001-01-01 00:00:00,3000-01-01 00:00:00
6786537527469904396,2025-10-02 17:03:02,2025-10-02,51,,false,aknapp,smithmichaela@example.org,false,true,2025-10-02 13:16:07.285609,Sarah,Boyd,"",0.000,false,false,2025-10-02 13:16:07.285609,2025-10-02 13:16:07.285609,2023-07-17 04:52:30,2023-07-17,1,0001-01-01 00:00:00,3000-01-01 00:00:00
629867729920540994,2025-10-02 17:03:02,2025-10-02,3,,false,elizabethromero,anthony33@example.com,false,true,2025-09-25 13:36:57.865425,Paula,Payne,"",0.000,false,false,2025-09-25 13:36:57.865425,2025-09-25 13:36:57.865425,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
9992639903726098668,2025-10-02 17:03:02,2025-10-02,4,,false,phillipskelly,owatts@example.net,false,true,2025-09-25 13:36:58.13453,Andrew,Newman,"",0.000,false,false,2025-09-25 13:36:58.13453,2025-09-25 13:36:58.13453,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
15355306631899174132,2025-10-02 17:03:02,2025-10-02,49,,false,andrew60,tanyasolomon@example.com,false,true,2025-10-02 13:16:06.743614,David,Silva,"",0.000,false,false,2025-10-02 13:16:06.743614,2025-10-02 13:16:06.743614,2023-02-20 12:17:31,2023-02-20,1,0001-01-01 00:00:00,3000-01-01 00:00:00
10087648167219205645,2025-10-02 17:03:02,2025-10-02,50,,false,smithrobert,hansonbradley@example.org,false,true,2025-10-02 13:16:07.013583,Meagan,Maddox,"",0.000,false,false,2025-10-02 13:16:07.013583,2025-10-02 13:16:07.013583,2025-05-06 17:35:40,2025-05-06,1,0001-01-01 00:00:00,3000-01-01 00:00:00
8672506807990511741,2025-10-02 17:03:02,2025-10-02,45,,false,isabel99,alexisgardner@example.com,false,true,2025-10-02 13:16:05.654881,Kayla,Smith,"",0.000,false,false,2025-10-02 13:16:05.654881,2025-10-02 13:16:05.654881,2024-08-27 11:54:20,2024-08-27,1,0001-01-01 00:00:00,3000-01-01 00:00:00
17237200536391168324,2025-10-02 17:03:02,2025-10-02,38,,false,keithdiaz,ewilliams@example.net,false,true,2025-10-02 13:16:03.757534,Leslie,James,"",0.000,false,false,2025-10-02 13:16:03.757534,2025-10-02 13:16:03.757534,2024-04-29 10:45:15,2024-04-29,1,0001-01-01 00:00:00,3000-01-01 00:00:00
6357444246741977545,2025-10-02 17:03:02,2025-10-02,40,,false,creynolds,vroberts@example.org,false,true,2025-10-02 13:16:04.303107,Ellen,Harrison,"",0.000,false,false,2025-10-02 13:16:04.303107,2025-10-02 13:16:04.303107,2023-05-30 03:14:52,2023-05-30,1,0001-01-01 00:00:00,3000-01-01 00:00:00
4698702258411358548,2025-10-02 17:03:02,2025-10-02,47,,false,amynelson,dean33@example.net,false,true,2025-10-02 13:16:06.202577,Samuel,Shelton,"",0.000,false,false,2025-10-02 13:16:06.202577,2025-10-02 13:16:06.202577,2023-03-03 00:13:04,2023-03-03,1,0001-01-01 00:00:00,3000-01-01 00:00:00
1087436552586489491,2025-10-02 17:03:02,2025-10-02,39,,false,kingjames,jeffreybrady@example.net,false,true,2025-10-02 13:16:04.02641,Robert,Eaton,"",0.000,false,false,2025-10-02 13:16:04.02641,2025-10-02 13:16:04.02641,2024-09-22 22:02:59,2024-09-22,1,0001-01-01 00:00:00,3000-01-01 00:00:00
7456664428259449137,2025-10-02 17:03:02,2025-10-02,6,,false,smithjulie,schneiderglenn@example.org,false,true,2025-09-25 13:36:58.697723,Adam,Gonzalez,"",0.000,false,false,2025-09-25 13:36:58.697723,2025-09-25 13:36:58.697723,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
1877657749282221327,2025-10-02 17:03:02,2025-10-02,41,,false,onealjoseph,andreaharrison@example.com,false,true,2025-10-02 13:16:04.573152,Natalie,Chandler,"",0.000,false,false,2025-10-02 13:16:04.573152,2025-10-02 13:16:04.573152,2025-08-14 22:45:41,2025-08-14,1,0001-01-01 00:00:00,3000-01-01 00:00:00
17645190618524313813,2025-10-02 17:03:02,2025-10-02,2,,false,bradley11,bmcclain@example.net,false,true,2025-09-25 13:36:57.592513,Michael,Thomas,"",0.000,false,false,2025-09-25 13:36:57.592513,2025-09-25 13:36:57.598557,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
8689710093907357791,2025-10-02 17:03:02,2025-10-02,44,,false,lindsey92,ctorres@example.net,false,true,2025-10-02 13:16:05.385755,Samuel,Smith,"",0.000,false,false,2025-10-02 13:16:05.385755,2025-10-02 13:16:05.385755,2025-09-06 09:41:35,2025-09-06,1,0001-01-01 00:00:00,3000-01-01 00:00:00
7433907371414959509,2025-10-02 17:03:02,2025-10-02,46,,false,ericfox,ericjenkins@example.net,false,true,2025-10-02 13:16:05.932151,Joshua,Davis,"",0.000,false,false,2025-10-02 13:16:05.932151,2025-10-02 13:16:05.932151,2024-12-27 16:45:41,2024-12-27,1,0001-01-01 00:00:00,3000-01-01 00:00:00
11149797181305901942,2025-10-02 17:03:02,2025-10-02,48,,false,eschmidt,lorihall@example.com,false,true,2025-10-02 13:16:06.466781,Joseph,Watkins,"",0.000,false,false,2025-10-02 13:16:06.466781,2025-10-02 13:16:06.466781,2023-01-05 15:41:23,2023-01-05,1,0001-01-01 00:00:00,3000-01-01 00:00:00
8840690793670502544,2025-10-02 17:03:02,2025-10-02,56,,false,pamela85,susanwhite@example.org,false,true,2025-10-02 13:16:08.65291,Christian,Landry,"",0.000,false,false,2025-10-02 13:16:08.65291,2025-10-02 13:16:08.65291,2024-04-06 07:00:27,2024-04-06,1,0001-01-01 00:00:00,3000-01-01 00:00:00
14068857957694792077,2025-10-02 17:03:02,2025-10-02,54,,false,paceryan,holly42@example.net,false,true,2025-10-02 13:16:08.102131,Andrea,Walker,"",0.000,false,false,2025-10-02 13:16:08.102131,2025-10-02 13:16:08.102131,2025-06-04 16:08:23,2025-06-04,1,0001-01-01 00:00:00,3000-01-01 00:00:00
9078757347415347078,2025-10-02 17:03:02,2025-10-02,1,2025-09-29 08:36:13.845932,true,petko@petko.bg,petko@petko.bg,true,true,2025-09-09 14:05:30,P,P,"",12650.000,false,true,2025-09-09 14:05:30.913952,2025-09-26 13:45:38.637804,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
11025633632794714205,2025-10-02 17:03:02,2025-10-02,42,,false,debbie40,blackmichael@example.com,false,true,2025-10-02 13:16:04.84014,Kathryn,Martinez,"",0.000,false,false,2025-10-02 13:16:04.84014,2025-10-02 13:16:04.84014,2023-08-09 00:17:16,2023-08-09,1,0001-01-01 00:00:00,3000-01-01 00:00:00
12457314886275079217,2025-10-02 17:03:02,2025-10-02,43,,false,phamrebecca,angelica93@example.org,false,true,2025-10-02 13:16:05.10778,Brittany,Swanson,"",0.000,false,false,2025-10-02 13:16:05.10778,2025-10-02 13:16:05.10778,2024-03-16 16:15:28,2024-03-16,1,0001-01-01 00:00:00,3000-01-01 00:00:00
8347170776081561201,2025-10-02 17:03:02,2025-10-02,55,,false,gwood,andrewjohnson@example.com,false,true,2025-10-02 13:16:08.383751,Mario,Sutton,"",0.000,false,false,2025-10-02 13:16:08.383751,2025-10-02 13:16:08.383751,2023-11-23 00:53:14,2023-11-23,1,0001-01-01 00:00:00,3000-01-01 00:00:00
